column,subsystem,role,index
tune_lev_drivediagnostics21_out,lev,out,events
tune_lev_drivediagnostics22_out,lev,out,events
tune_lev_drivediagnostics23_out,lev,out,events
tune_lev_controlword0_out,lev,out,events
tune_lev_controlword1_out,lev,out,events
tune_lev_controlword2_out,lev,out,events
tune_lev_controlword3_out,lev,out,events
tune_lev_controlword4_out,lev,out,events
tune_lev_controlword5_out,lev,out,events
tune_lev_controlword6_out,lev,out,events
tune_lev_controlword7_out,lev,out,events
tune_lev_controlword8_out,lev,out,events
tune_lev_controlword9_out,lev,out,events
tune_lev_controlword10_out,lev,out,events
tune_lev_controlword11_out,lev,out,events
tune_lev_controlword12_out,lev,out,events
tune_lev_controlword13_out,lev,out,events
tune_lev_controlword14_out,lev,out,events
tune_lev_controlword15_out,lev,out,events
tune_lev_controlword16_out,lev,out,events
tune_lev_controlword17_out,lev,out,events
tune_lev_controlword18_out,lev,out,events
tune_lev_controlword19_out,lev,out,events
tune_lev_controlword20_out,lev,out,events
tune_lev_controlword21_out,lev,out,events
tune_lev_controlword22_out,lev,out,events
tune_lev_controlword23_out,lev,out,events
tune_lev_errorspecifics0_out,lev,out,events
tune_lev_errorspecifics1_out,lev,out,events
tune_lev_errorspecifics2_out,lev,out,events
tune_lev_errorspecifics3_out,lev,out,events
tune_lev_errorspecifics4_out,lev,out,events
tune_lev_errorspecifics5_out,lev,out,events
tune_lev_errorspecifics6_out,lev,out,events
tune_lev_errorspecifics7_out,lev,out,events
tune_lev_errorspecifics8_out,lev,out,events
tune_lev_errorspecifics9_out,lev,out,events
tune_lev_errorspecifics10_out,lev,out,events
tune_lev_errorspecifics11_out,lev,out,events
tune_lev_errorspecifics12_out,lev,out,events
tune_lev_errorspecifics13_out,lev,out,events
tune_lev_errorspecifics14_out,lev,out,events
tune_lev_errorspecifics15_out,lev,out,events
tune_lev_errorspecifics16_out,lev,out,events
tune_lev_errorspecifics17_out,lev,out,events
tune_lev_errorspecifics18_out,lev,out,events
tune_lev_errorspecifics19_out,lev,out,events
tune_lev_errorspecifics20_out,lev,out,events
tune_lev_errorspecifics21_out,lev,out,events
tune_lev_errorspecifics22_out,lev,out,events
tune_lev_errorspecifics23_out,lev,out,events
tune_lev_drivefeedbacktimeouts0_out,lev,out,events
tune_lev_drivefeedbacktimeouts1_out,lev,out,events
tune_lev_drivefeedbacktimeouts2_out,lev,out,events
tune_lev_drivefeedbacktimeouts3_out,lev,out,events
tune_lev_drivefeedbacktimeouts4_out,lev,out,events
tune_lev_drivefeedbacktimeouts5_out,lev,out,events
tune_lev_drivefeedbacktimeouts6_out,lev,out,events
tune_lev_drivefeedbacktimeouts7_out,lev,out,events
tune_lev_drivefeedbacktimeouts8_out,lev,out,events
tune_lev_drivefeedbacktimeouts9_out,lev,out,events
tune_lev_drivefeedbacktimeouts10_out,lev,out,events
tune_lev_drivefeedbacktimeouts11_out,lev,out,events
tune_lev_drivefeedbacktimeouts12_out,lev,out,events
tune_lev_drivefeedbacktimeouts13_out,lev,out,events
tune_lev_drivefeedbacktimeouts14_out,lev,out,events
tune_lev_drivefeedbacktimeouts15_out,lev,out,events
tune_lev_drivefeedbacktimeouts16_out,lev,out,events
tune_lev_drivefeedbacktimeouts17_out,lev,out,events
tune_lev_drivefeedbacktimeouts18_out,lev,out,events
tune_lev_drivefeedbacktimeouts19_out,lev,out,events
tune_lev_drivefeedbacktimeouts20_out,lev,out,events
tune_lev_drivefeedbacktimeouts21_out,lev,out,events
tune_lev_drivefeedbacktimeouts22_out,lev,out,events
tune_lev_drivefeedbacktimeouts23_out,lev,out,events
tune_lev_drivecurrenterror0_out,lev,out,events
tune_lev_drivecurrenterror1_out,lev,out,events
tune_lev_drivecurrenterror2_out,lev,out,events
tune_lev_drivecurrenterror3_out,lev,out,events
tune_lev_drivecurrenterror4_out,lev,out,events
tune_lev_drivecurrenterror5_out,lev,out,events
tune_lev_drivecurrenterror6_out,lev,out,events
tune_lev_drivecurrenterror7_out,lev,out,events
tune_lev_drivecurrenterror8_out,lev,out,events
tune_lev_drivecurrenterror9_out,lev,out,events
tune_lev_drivecurrenterror10_out,lev,out,events
tune_lev_drivecurrenterror11_out,lev,out,events
tune_lev_drivecurrenterror12_out,lev,out,events
tune_lev_drivecurrenterror13_out,lev,out,events
tune_lev_drivecurrenterror14_out,lev,out,events
tune_lev_drivecurrenterror15_out,lev,out,events
tune_lev_drivecurrenterror16_out,lev,out,events
tune_lev_drivecurrenterror17_out,lev,out,events
tune_lev_drivecurrenterror18_out,lev,out,events
tune_lev_drivecurrenterror19_out,lev,out,events
tune_lev_drivecurrenterror20_out,lev,out,events
tune_lev_drivecurrenterror21_out,lev,out,events
tune_lev_drivecurrenterror22_out,lev,out,events
tune_lev_drivecurrenterror23_out,lev,out,events
tune_prop_position_out,prop,out,metrics
tune_prop_positioninterpolated_out,prop,out,metrics
tune_prop_velocity_sp,prop,sp,metrics
tune_prop_velocity_act,prop,act,metrics
tune_prop_currentangleright_out,prop,out,metrics
tune_prop_currentangleleft_out,prop,out,metrics
tune_prop_vbusright_out,prop,out,metrics
tune_prop_vbusleft_out,prop,out,metrics
tune_prop_idright_out,prop,out,metrics
tune_prop_iqright_out,prop,out,metrics
tune_prop_iaright_out,prop,out,metrics
tune_prop_ibright_out,prop,out,metrics
tune_prop_icright_out,prop,out,metrics
